X,Y,Depth,Elevation
458110.9961,4683990.191,100,408.676788
462842.8205,4683892.592,98,315.273865
470228.5352,4728717.9,95,430.986267
470284.1017,4720987.752,16,443.293884
471964.5335,4723747.588,38,413.533295
468068.3486,4729887.342,5,501.168396
467435.2726,4731167.319,18,521.21814
448830.8541,4676029.057,50,371.217499
447198.7773,4679986.149,3,422.461731
451283.9597,4687325.41,7,497.619263
450099.1863,4682589.82,25,484.618195
468793.6099,4696309.141,253,310.40863
462575.3504,4691679.079,15,456.589783
457725.5069,4688023.858,1,479.770996
466560.2432,4697155.355,95,465.078888
459783.4874,4686987.713,80,432.02417
462365.3934,4692611.705,100,489.787292
463481.9112,4714527.246,86,542.208496
464566.4353,4711745.553,32,481.933594
466910.777,4712730.302,79,391.895691
467907.5594,4708863.832,60,326.221313
466351.6177,4718732.404,15,494.929596
467602.623,4716854.135,43,406.560242
468096.5256,4721188.714,32,471.8815
463377.868,4704277.942,80,445.358459
465358.6154,4704129.016,200,423.540527
461845.2976,4702046.819,50,502.305298
454466.4071,4687560.02,3,497.403137
453229.9989,4689169.004,15,502.984711
500425.1434,4697630.524,13,512.208252
517739.8522,4703149.441,139,549.383179
508427.2103,4701133.281,20,386.203918
512051.792,4704950.922,17,565.679932
508926.0833,4703909.858,90,544.636536
515152.2213,4702495.612,42,400.379669
510873.7665,4700717.188,27,501.783722
514337.5704,4705584.471,17,578.86499
505458.502,4695060.285,73,632.300415
497887.8923,4694281.216,19,540.202759
484034.5918,4688210.61,6,547.981995
483596.4003,4683791.78,45,518.964661
489228.2975,4680733.583,10,606.400146
483995.0995,4688950.942,13,566.889832
491818.981,4688764.712,67,441.256378
496334.3052,4691616.984,44,592.988403
486671.6251,4686468.62,40,458.461365
483549.1913,4680254.187,95,564.278381
496237.0361,4685084.44,41,599.251343
491345.9514,4689206.339,32,440.223938
487419.0739,4680853.795,108,612.687744
492399.1417,4683674.938,48,583.679016
493785.8848,4693234.98,76,406.334198
496526.2571,4686712.807,75,510.595886
489417.6907,4687848.798,120,446.542053
523211.8421,4705404.81,3,630.917542
527259.0574,4700015.522,125,578.692261
519338.3292,4704689.733,3,608.420471
524881.4236,4699321.901,18,561.288391
529583.1711,4698677.087,15,651.241272
525959.3482,4700633.622,4,640.030762
526073.6659,4699378.687,15,553.426392
525035.2347,4704837.415,48,598.113464
519824.4617,4702303.756,40,540.549255
520218.4682,4698714.635,42,468.977875
522209.9165,4697499.261,48,493.552185
513085.4676,4694145.091,93,563.58728
511486.8116,4697356.192,30,534.223938
520175.9558,4699195.678,50,446.175812
516969.514,4698835.528,31,588.94989
511283.2878,4697454.561,73,529.436401
469469.5884,4675696.364,46,416.459106
470667.9126,4675586.398,10,534.92511
470554.6015,4680817.899,40,528.756531
476495.6172,4679330.449,75,571.714844
472031.8953,4679655.234,107,500.071045
469447.4848,4675884.604,85,419.299072
468262.0299,4679843.978,40,495.013794
502044.1345,4693244.855,45,511.627197
497789.9409,4688137.249,130,495.447266
500137.3631,4691653.037,93,478.499054
500151.1566,4688284.95,121,533.446106
503954.0897,4691712.755,20,668.268127
502465.6619,4690854.627,86,545.857544
479008.9102,4683979.812,47,540.676025
473543.117,4683110.005,30,359.001953
469711.0184,4683310.561,5,471.850739
478855.2033,4687669.145,10,350.718536
477096.4092,4680910.72,20,560.141296
479721.4279,4685741.955,0,585.786377
480015.2627,4684439.523,7,542.916687
478233.7684,4685027.764,14,561.011292
474776.8535,4680446.766,14,566.073425
466576.6817,4683352.55,22,310.639069
482484.7229,4677761.564,57,650.155396
496245.5671,4751304.877,10,476.184326
498680.8091,4752355.836,77,474.820831
500315.4855,4747324.7,3,455.297028
498449.6255,4752540.963,78,475.484619
499537.5371,4749894.193,0,459.604034
485556.5181,4756146.523,42,398.136505
517645.2577,4746415.772,21,449.823761
501801.6616,4746334.77,80,416.377289
503373.5917,4747189.797,28,444.708984
508226.1418,4743421.419,97,440.040131
505600.9882,4750451.692,85,457.261658
488844.5986,4752324.672,45,402.680206
488350.5783,4748414.178,25,379.118835
473870.5497,4733561.394,7,419.856018
479245.8974,4742402.101,30,372.023224
473044.3823,4741442.667,39,464.300873
475619.5286,4736395.906,4,470.24762
477854.3015,4743831.531,140,451.062347
476847.4506,4735993.764,18,413.682739
