Elevation,RockDepthI
327.2559509,60
465.1654968,10
501.9942017,39
423.0158386,16
332.1558838,62
483.4086914,20
348.1130066,41
426.6582336,55
326.379303,460
512.5269165,18
462.8471069,102
411.0018921,20
541.9912109,36
505.8458557,138
398.0969543,50
463.5782776,50
394.6569824,49
367.8302917,145
451.999115,17
503.9681702,18
372.3330383,20
388.1705933,28
382.2798767,20
520.0079346,17
501.2797852,52
507.184906,41
480.4140015,80
448.231781,64
362.617157,60
428.1186829,93
400.9526672,98
525.7987671,15
444.1659241,59
467.3837585,66
427.8284607,80
461.0035706,196
463.403595,40
395.5828857,38
412.892395,30
392.7555847,20
391.928772,60
496.8202515,48
566.3724365,60
384.6530457,20
585.3306885,185
446.4191589,156
457.2584534,190
434.1990967,51
413.2546692,23
422.6879272,92
494.9035034,140
519.3689575,100
322.8700256,33
388.1160278,50
304.7142029,57
519.9417725,35
315.2635498,110
317.2206421,41
411.3175049,43
322.1651001,97
328.4458923,60
531.4266968,98
551.3609009,25
357.1634521,145
628.1105347,9
588.68927,98
586.4598999,150
615.5370483,4
591.5540771,20
535.2697144,90
568.6576538,2
599.6849976,2
472.7016907,80
422.0100403,90
490.9554443,11
473.7783813,34
494.4631348,62
420.3783569,40
659.746582,18
567.2582397,11
627.5289917,16
642.8051147,105
655.4536743,3
643.5219116,3
540.5075073,18
602.053833,2
473.5234375,21
483.6042175,48
507.7497864,1
429.0636292,1
329.0428772,1
529.3873291,2
551.225769,3
620.0582275,3
429.8164978,4
590.5119629,4
447.236145,4
472.9599915,4
346.6594849,4
436.8516235,5
355.0211487,5
289.4650574,5
513.2871704,5
445.2182617,7
481.5885315,7
472.1095276,7
429.0636292,8
429.0636292,8
496.7097778,8
499.0838928,10
524.8629761,10
522.9576416,10
520.2262573,10
304.54422,10
465.9833374,10
502.0205688,11
509.9597473,12
406.3253479,12
277.551239,12
536.6831055,12
443.2620544,12
552.7719116,12
519.8118286,12
602.213501,14
536.8666992,15
543.1355591,15
501.9635925,15
293.5571899,15
559.4036255,15
410.533783,16
283.9049377,16
514.7315063,16
559.5515747,17
477.5885925,17
429.9212952,17
506.1393433,17
290.5046997,17
514.5308838,17
525.6993408,18
526.8601685,18
279.8216858,18
296.5740662,18
468.6557007,18
411.7913208,19
508.8339844,19
457.6852112,19
478.7839661,20
436.0445557,20
296.8516846,20
341.7816772,20
429.0636292,20
509.5151367,20
396.5961304,20
605.3132324,21
282.5933838,21
540.7839355,22
491.7253723,23
607.4707642,24
358.5102539,24
472.2687988,24
398.2359314,24
