X,Y,Depth
470900.0586,4621937.8,154
489102.7676,4624248.407,156
477645.768,4637135.28,160
461343.5987,4631499.306,165
472041.3925,4641997.056,168
477939.2561,4635191.38,168
493812.6925,4623996.305,170
494089.3985,4623902.81,170
483764.9947,4622377.775,178
479201.7947,4627027.124,191
472130.4322,4633179.923,192
469248.8287,4635440.097,198
467535.8447,4623727.593,212
472149.2651,4646037.005,215
472230.2069,4641303.493,300
425750.3165,4679294.833,6
425766.9078,4679347.097,5
424379.5282,4682643.992,2
420967.5599,4682687.752,96
428549.7255,4682618.808,43
424915.0183,4681533.927,17
424825.871,4685825.683,100
423966.3972,4683407.29,112
427968.1322,4683522.387,42
429087.944,4686018.802,5
421027.6412,4677436.898,25
421729.7069,4684079.674,64
427360.6236,4678806.05,30
421567.761,4681471.811,134
426625.5239,4677971.58,10
424927.7383,4682937.321,85
426708.1776,4677986.14,10
423071.5,4676966.958,120
423622.755,4676862.239,160
423679.0468,4676769.088,141
423596.9249,4677649.11,6
426731.7032,4678044.503,2
427196.4117,4682857.895,20
419983.1379,4682118.976,4
426386.7665,4684704.806,14
422522.9188,4685616.313,110
428686.5016,4676913.935,175
427417.4493,4677873.903,56
422401.088,4685778.066,80
424149.4073,4683389.886,118
421791.0383,4682391.649,40
429877.2885,4681627.591,23
426831.6878,4660057.186,82
420693.803,4650934.383,6
426232.277,4654128.756,24
426512.2385,4658058.627,1
426526.286,4653875.854,163
423439.4262,4668217.965,4
424890.4443,4669568.842,16
424706.5075,4657257.125,40
420761.787,4651047.752,6
427236.5512,4653846.929,18
428070.3163,4673138.477,25
425080.0276,4657367.289,45
421836.0215,4655206.162,186
424428.0606,4650976.874,130
424332.894,4650897.692,144
425038.9325,4657176.482,105
424826.9175,4658205.889,10
425532.8336,4651026.873,130
427166.5008,4655531.798,150
425260.7607,4655110.573,40
427679.2155,4650578.991,114
426263.4836,4652487.465,1
423516.351,4654321.048,190
423259.1372,4671471.132,98
426640.6174,4672604.169,53
424383.5529,4674926.107,134
427990.6814,4674320.695,10
429906.2309,4671195.179,92
428255.8613,4672667.724,20
428169.3808,4672733.382,29
426642.525,4672567.133,50
426662.3931,4672492.896,31
428809.0658,4674303.115,172
425920.5033,4674786.371,5
431172.9914,4671719.402,100
422971.0667,4673655.126,10
429932.5205,4674757.612,100
423172.8492,4669658.304,31
424224.1096,4675023.447,50
428915.7715,4672608.592,45
424761.1023,4675498.888,41
428437.4964,4669325.265,16
422386.1224,4668433.067,84
428141.7997,4672727.495,24
428328.019,4672546.69,5
429177.7275,4672886.65,31
425081.9163,4672685.359,12
429921.0443,4675676.936,64
426207.4095,4675690.238,94
431119.6705,4671192.462,145
428519.5821,4670857.471,22
427992.4261,4673370.618,16
438120.6349,4664409.474,38
445029.5226,4675323.642,1
445620.3041,4672567.717,10
438330.1613,4665265.123,50
451092.7015,4667370.466,232
450726.346,4667490.223,149
454801.8633,4666022.53,60
454357.5984,4666537.393,210
447508.6278,4669000.127,110
449230.6924,4671081.827,27
444881.0867,4670710.457,10
442348.9015,4666538.951,10
446086.3676,4663933.915,8
447989.4981,4670113.121,73
438123.7172,4664761.077,32
439156.81,4675646.506,30
448490.4766,4669918.207,55
447536.0678,4666520.057,40
442984.3797,4672172.166,15
455081.7093,4665992.983,40
446294.5791,4668059.27,5
454743.3536,4666204.882,80
438238.4727,4665543.527,70
445155.1885,4675270.225,3
448365.8656,4669505.808,90
444400.5447,4666204.786,5
444982.4953,4666949.739,60
446022.7186,4672111.207,124
443370.7238,4672872.306,10
440720.2611,4666660.405,70
436794.6072,4667860.427,64
443529.9969,4668423.243,5
441947.6399,4671603.84,30
441650.2338,4671973.35,12
440638.6232,4676574.619,12
437709.4049,4666982.461,105
447159.295,4664940.57,45
436411.2304,4665809.6,140
442348.7549,4669888.667,4
448101.8869,4665433.248,70
444902.7909,4665266.267,70
448490.6795,4669945.965,63
448520.9072,4670001.264,65
447702.3779,4664183.933,60
